~1~900~Жовтоводські РЕМ~Iншi~м. Жовті Води вул. Будівельників     1А~ПС "С-35"(2Т,3Т)~ЖРЕМ виробнича дільниця~~0~0~0~0158923~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~232315~350~Абонент~0,4~Т-0,66 400/5~80~1530005167~~А060220, А060221, А060222~Абонент~631,77~~~~~~~~~01.01.2017~01.03.2010~16~01.03.2026~0~~~~~~~~~
~2~900~Жовтоводські РЕМ~Iншi~м. Жовті Води вул. Хмельницького      32~ТП-41~ЖРЕМ адміністративна будівля~~0~0~0~0159467~НІК 2301АК1~6329~электронный~Трехфазный~6~5~1,0~1~232306~38~Абонент~0,4~Т-0,66 300/5~60~1530005161~~79909, 49721, 90136~Абонент~68,59~4,37~~~~~~~~01.01.2017~01.03.2010~16~01.03.2026~0~~~~~~~~~
~3~900~Жовтоводські РЕМ~Iншi~м. Жовті Води вул. Хмельницького      32~ТП-42~ЖРЕМ адміністративна будівля (2 ввод)~~0~0~0~1205638~Torgrids 10XX.120A/4T+~20022~электронный~Трехфазный~6~5~1~1~1302619~0~Абонент~0,4~~~~~~~0,00~~~~~~~~~11.01.2020~01.10.2017~6~01.10.2023~0~~~~~~~~~
~4~20000001~ЖМГО "Пожарний"~Iншi~м. Жовті Води пров. Стовби      7~ТП-173~гаражі~~0~0~0~1136954~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~109113~3~Абонент~0,2~~~~~~~0,22~~~~~~~~~01.10.2015~01.04.2009~16~01.04.2025~0~~~~~~~~~
~5~20000002~Р ФОП Косаревич Т.О.~Iншi~м. Жовті Води вул. Козацької Слави~ТП-67~торгівельний павільйон №9~~0~0~0~4044719~НІК2102-02.М2~6497~электронный~Однофазный~6~5~~1~107350~5~Абонент~0,2~~~~~~~0,36~~~~~~~~~29.05.2015~01.12.2011~16~01.12.2027~0~~~~~~~~~
~6~20000003~Р ФОП Левус С.В.~Iншi~м. Жовті Води вул. Козацької Слави~ТП-67~торгівельний павільйон №4~~0~0~0~2806210~НІК 2102-02~6364~электронный~Однофазный~6~5~1,0~1~106926~5~Абонент~0,2~~~~~~~0,36~~~~~~~~~01.10.2015~01.09.2010~16~01.09.2026~0~~~~~~~~~
~7~20000003~Р ФОП Левус С.В.~Iншi~м. Жовті Води б. Свободи~ТП-116~торгівельний павільйон №16~~0~0~0~6659071~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~106921~5~Абонент~0,2~~~~~~~0,38~~~~~~~~Установлен~01.10.2015~01.09.2014~16~01.09.2030~0~~~~~~~~~
~8~20000004~ФОП Воробей О.А.~Iншi~м. Жовті Води вул. Тиха     1А~ТП-19~виробниче приміщення~~0~0~0~009338~СТ-ЭА08Д~10601~электронный~Трехфазный~6~5~1~1~107768~15~Абонент~0,4~~~~~~~27,08~~~~~~~~~01.10.2015~01.12.2014~16~01.12.2030~0~~~~~~~~~
~9~20000004~ФОП Воробей О.А.~Iншi~м. Жовті Води б. Свободи     54~ТП-63~Магазин~~0~0~0~26134~Дельта 8010-11~6872~электронный~Трехфазный~6~10~1.0~1~1266637~5~Абонент~0,4~~~~~~~9,03~~~~~~~~~01.10.2018~01.09.2012~16~01.09.2028~0~~~~~~~~~
~10~20000005~Р ФОП Василиненко З.В.~Iншi~м. Жовті Води б. Свободи~ТП-116~торгівельний павільйон №15~~0~0~0~6666753~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~108971~4~Абонент~0,2~~~~~~~0,29~~~~~~~~Установлен~29.05.2015~01.09.2014~16~01.09.2030~0~~~~~~~~~
~11~20000006~Р ФОП Тихомиров В.М.~Iншi~м. Жовті Води пров. Веселий     1А~ТП-19~магазин "Каравела"~~0~0~0~0252619~НІК 2303 АП3~6720~электронный~Трехфазный~6~5~1,0~1~107747~10~Абонент~0,4~~~~~~~18,05~~~~~~~~~08.06.2015~01.12.2013~16~01.12.2029~0~~~~~~~~~
~12~20000006~Р ФОП Тихомиров В.М.~Iншi~м. Жовті Води вул. Партизанська    120~МТП-52~магазин №11~~0~0~0~0590075~НІК 2301АП3~6372~электронный~Трехфазный~6~5~1,0~1~107839~10~Абонент~0,4~~~~~~~18,05~~~~~~~~~08.06.2015~01.09.2011~16~01.09.2027~0~~~~~~~~~
~13~20000007~Р ФОП Данилко О.В.~Iншi~м. Жовті Води вул. Хмельницького      34/ 55~ТП-41~магазин промислових товарів~~0~0~0~6288886~НІК 2102-02.М2В~10539~электронный~Однофазный~6~5~1~1~108939~3~РЕС~0,2~~~~~~~0,23~~~~~~~~~01.10.2015~01.12.2013~16~01.12.2029~0~~~~~~~~~
~14~20000008~ФОП Воронцова О.Ю.~Iншi~м. Жовті Води вул. Горького       6~ТП-33~лазня~~0~0~0~0054068~НІК 2303АРП3~6380~электронный~Трехфазный~6~5~1,0~1~106177~55~Абонент~0,4~~~~~~~99,28~~~~~~~~~21.09.2015~01.06.2010~16~01.06.2026~0~~~~~~~~~
